,0,1,2,3,4,5,6,7,8,9,10,11
0,autotimer.py - AutoTimer - Visual Studio Code,18,5.0,8.0,2.0,12.0,11.0,14.0,13.0,2.0,10.0,16.0
1,Command Prompt,5,4.0,10.0,2.0,,,,,,,
2,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,
3,Microsoft OneDrive,3,,,,,,,,,,
4,WhatsApp,3,2.0,1.0,,,,,,,,
5,uiautomation · PyPI and 7 more pages - Personal - Microsoft​ Edge,2,1.0,1.0,,,,,,,,
6,activities.json - AutoTimer - Visual Studio Code,8,17.0,5.0,6.0,,,,,,,
7,(4) One Day Builds: Automatic time tracking using Python - YouTube and 7 more pages - Personal - Microsoft​ Edge,4,9.0,38.0,,,,,,,,
8,Volume Control,2,23.0,,,,,,,,,
9,KalleHallden/AutoTimer and 6 more pages - Personal - Microsoft​ Edge,2,22.0,,,,,,,,,
10,ITSP-Strelax/Screen Time Analysis at main · alakhagr/ITSP-Strelax and 6 more pages - Personal - Microsoft​ Edge,4,4.0,1.0,,,,,,,,
11,ITSP-Strelax/activities (1).csv at main · alakhagr/ITSP-Strelax and 6 more pages - Personal - Microsoft​ Edge,2,,,,,,,,,,
12,youttube - Bing and 6 more pages - Personal - Microsoft​ Edge,12,,,,,,,,,,
13,convert a json file to csv - Bing and 6 more pages - Personal - Microsoft​ Edge,4,,,,,,,,,,
14,https://www.bing.com/search?q=convert+a+json+file+to+csv&qs=UT&pq=convert+a+json+file+to&sc=5-22&cvid=70C9C01FA34B44C6B0155B9AD315B02A&FORM=QBRE&sp=1 and 7 more pages - Personal - Microsoft​ Edge,1,,,,,,,,,,
15,convert a json file to csv - Bing and 7 more pages - Personal - Microsoft​ Edge,5,,,,,,,,,,
16,JSON to CSV Converter Online (formerly json-csv.com) and 7 more pages - Personal - Microsoft​ Edge,5,19.0,1.0,2.0,1.0,,,,,,
17,Open,13,,,,,,,,,,
18,Program Manager,4,,,,,,,,,,
19,Search,17,,,,,,,,,,
20,Using Python Environments in Visual Studio Code - Brave,1,2.0,,,,,,,,,
21,ARYAN AGAL | Microsoft Teams,7,,,,,,,,,,
22,Save As,4,,,,,,,,,,
23,Installing scikit-learn — scikit-learn 0.24.2 documentation - Brave,1,2.0,,,,,,,,,
24,Documentation for Visual Studio Code - Brave,1,,,,,,,,,,
25,New Tab - Brave,2,,,,,,,,,,
26,YouTube - Brave,3,,,,,,,,,,
27,(1) YouTube - Brave,10,,,,,,,,,,
28,(1) Data analysis - YouTube - Brave,26,,,,,,,,,,
29,(1) graphical analysis of csv file edureka - YouTube - Brave,15,,,,,,,,,,
30,(1) Data Science Project - Covid-19 Data Analysis Project using Python | Python Training | Edureka - YouTube - Brave,6,5.0,15.0,,,,,,,,
31,AutoTimer,2,,,,,,,,,,
32,activity.py - AutoTimer - Visual Studio Code,1,,,,,,,,,,
33,activity.pyc - AutoTimer - Visual Studio Code,1,,,,,,,,,,
34,ITSP-Strelax/Screen Time Analysis at main · alakhagr/ITSP-Strelax and 7 more pages - Personal - Microsoft​ Edge,4,,,,,,,,,,
35,ITSP-Strelax/screenanalysis.py at main · alakhagr/ITSP-Strelax and 7 more pages - Personal - Microsoft​ Edge,17,3.0,2.0,,,,,,,,
36,screenanalysis.py - AutoTimer - Visual Studio Code,3,9.0,38.0,,,,,,,,
37,● screenanalysis.py - AutoTimer - Visual Studio Code,14,,,,,,,,,,
